"STP reporting ABN: 42605912301"

"Reported Date","Effective Date","Branch ID","Event type","Gross payments","PAYGW","Submission ID","BMS ID"
"21/08/2025","30/06/2025","002","Update","","","D31E7A75-CE06-4104-A850-69BF22EB43F6","XERO_9668D56F-C74B-43A7-B6F5-784A0E979D77"
"04/07/2025","30/06/2025","002","Update","","","1A961217-F9F3-4BE7-8924-FD4C158E76CD","XERO_9668D56F-C74B-43A7-B6F5-784A0E979D77"
"27/06/2025","19/06/2025","002","Pay","$1,335.00","$255.00","59DE1A47-0542-4DC3-91CC-FD9163D49025","XERO_9668D56F-C74B-43A7-B6F5-784A0E979D77"
"20/06/2025","12/06/2025","002","Pay","$2,222.00","$423.00","0823C1D0-42A4-4813-9549-9D8A24CAB6BD","XERO_9668D56F-C74B-43A7-B6F5-784A0E979D77"
"13/06/2025","05/06/2025","002","Pay","$1,420.00","$265.00","B56E7DAD-90F6-49A8-8388-F9630DBEC3D6","XERO_9668D56F-C74B-43A7-B6F5-784A0E979D77"
"06/06/2025","29/05/2025","002","Pay","$810.00","$193.00","6F5CD9D1-34DC-4335-A755-F6325E88ABFC","XERO_9668D56F-C74B-43A7-B6F5-784A0E979D77"
"06/06/2025","29/05/2025","002","Pay","$2,750.00","$469.00","3A5B2E22-FE6C-46A8-B45F-1E04D424F3CA","XERO_9668D56F-C74B-43A7-B6F5-784A0E979D77"
"30/05/2025","22/05/2025","002","Pay","$4,106.00","$726.00","0CBF64B1-94C5-4D49-B5AF-2804CF21BA23","XERO_9668D56F-C74B-43A7-B6F5-784A0E979D77"
"23/05/2025","15/05/2025","002","Pay","$2,133.00","$334.00","52636AD9-8B78-4CF9-B004-50630C7E7CFD","XERO_9668D56F-C74B-43A7-B6F5-784A0E979D77"
"16/05/2025","08/05/2025","002","Pay","$2,040.00","$411.00","8695BD03-F4E7-442E-973E-16A6C54A6D50","XERO_9668D56F-C74B-43A7-B6F5-784A0E979D77"
"09/05/2025","01/05/2025","002","Pay","$2,115.00","$435.00","7A812BE2-57CD-458F-94C9-08AEC4F80EB9","XERO_9668D56F-C74B-43A7-B6F5-784A0E979D77"
