*Code,Report Code,*Name,Reporting Name,*Type,*Tax Code,Description,Dashboard,Expense Claims,Enable Payments,Balance
200,REV.TRA.GOO,General Sales,,Revenue,GST on Income,Income from any normal business activity,No,No,No,
260,REV.TRA.GOO,Other Income,,Revenue,GST Free Income,Any other income that does not relate to normal business activities and is not recurring,No,No,No,
265,REV.OTH,Profit on Sale of Non-current Assests,,Other Income,GST on Income,,No,No,No,
270,REV.OTH,Interest Income - Div 7A,,Revenue,BAS Excluded,Interest income,No,No,No,
271,REV.OTH,Interest Received,,Other Income,BAS Excluded,,No,No,No,
280,REV,Other Revenue,,Other Income,GST on Income,,No,No,No,
281,REV.OTH,ATO Cash Flow Boost,,Other Income,BAS Excluded,,No,No,No,
310,EXP.COS,Cost of Goods Sold,,Direct Costs,GST on Expenses,Cost of goods sold by the business,No,No,No,
312,EXP.COS.OPE,Opening Stock,,Direct Costs,BAS Excluded,,No,No,No,
314,EXP.COS.CLO,Closing Stock,,Direct Costs,BAS Excluded,,No,No,No,
316,EXP.COS,Purchases,,Direct Costs,GST on Expenses,,No,No,No,
326,EXP,Staff Amenities,,Expense,GST on Expenses,,No,No,No,
400,EXP,Advertising,,Expense,GST on Expenses,Expenses incurred for advertising while trying to increase sales,No,Yes,No,
401,EXP,Accountancy Fees,,Expense,GST on Expenses,,No,No,No,
402,EXP.BAD,Bad Debts Written Off,,Expense,BAS Excluded,,No,No,No,
403,EXP,Bank Charges,,Expense,GST Free Expenses,,No,No,No,
408,EXP,Cleaning,,Expense,GST on Expenses,Expenses incurred for cleaning business property.,No,Yes,No,
410,EXP,Contractors,,Expense,BAS Excluded,,No,No,No,
412,EXP,Consulting & Accounting,,Expense,GST on Expenses,Expenses related to paying consultants,No,Yes,No,
416,EXP.DEP,Depreciation,,Expense,BAS Excluded,The amount of the asset's cost (based on the useful life) that was consumed during the period,No,No,No,
417,EXP,Donations,,Expense,GST on Expenses,,No,No,No,
418,EXP,Electricity,,Expense,GST on Expenses,,No,No,No,
420,EXP,Entertainment,,Expense,GST Free Expenses,Expenses paid by company for the business but are not deductable for income tax purposes.,No,Yes,No,
422,EXP,Filing Fees,,Expense,GST Free Expenses,,No,No,No,
424,EXP,Amortisation,,Expense,BAS Excluded,,No,No,No,
425,EXP,Freight & Courier,,Expense,GST on Expenses,Expenses incurred on courier & freight costs,No,Yes,No,
429,EXP,General Expenses,,Expense,GST on Expenses,General expenses related to the running of the business.,No,Yes,No,
430,EXP,IT Expenses,,Expense,GST on Expenses,,No,No,No,
431,EXP,Inspection Fees,,Expense,GST on Expenses,,No,No,No,
433,EXP,Insurance,,Expense,GST on Expenses,Expenses incurred for insuring the business' assets,No,Yes,No,
437,EXP.INT,Interest Expense,,Expense,GST Free Expenses,"Any interest expenses paid to ATO, business bank accounts or credit card accounts.",No,Yes,No,
441,EXP,Legal Expenses,,Expense,GST on Expenses,Expenses incurred on any legal matters,No,Yes,No,
445,EXP,"Light, Power, Heating",Electricity,Expense,GST on Expenses,"Expenses incurred for lighting, powering or heating the premises",No,Yes,No,
447,EXP,Marketing,,Expense,GST on Expenses,,No,No,No,
449,EXP.VEH,Motor Vehicle Expenses,,Expense,GST on Expenses,Expenses incurred on the running of company motor vehicles,No,Yes,No,
450,EXP,Petrol & Oil,,Expense,GST on Expenses,,No,No,No,
453,EXP,Office Expenses,,Expense,GST on Expenses,General expenses related to the running of the business office.,No,Yes,No,
458,EXP,Postage,,Expense,GST on Expenses,,No,No,No,
461,EXP,Printing & Stationery,,Expense,GST on Expenses,Expenses incurred by the entity as a result of printing and stationery,No,Yes,No,
468,EXP,Relocation Expenses,,Expense,GST on Expenses,,No,Yes,Yes,
469,EXP.REN,Rent,,Expense,GST on Expenses,The payment to lease a building or area.,No,Yes,No,
473,EXP,Repairs and Maintenance,,Expense,GST on Expenses,Expenses incurred on a damaged or run down asset that will bring the asset back to its original condition.,No,Yes,No,
475,EXP,Uniform,,Expense,GST on Expenses,,No,No,No,
477,EXP.EMP.WAG,Wages and Salaries,,Expense,BAS Excluded,Payment to employees in exchange for their resources,No,No,No,
478,EXP.EMP.SUP,Superannuation,,Expense,BAS Excluded,Superannuation contributions,No,No,No,
483,EQU.RET.DIV.ORD,Dividend Paid,,Equity,BAS Excluded,,No,No,No,
485,EXP,Subscriptions,,Expense,GST on Expenses,"E.g. Magazines, professional bodies.",No,Yes,No,
489,EXP,Telephone & Internet,,Expense,GST on Expenses,"Expenditure incurred from any business-related phone calls, phone lines, or internet connections",No,Yes,No,
491,EXP,Training and Development,,Expense,GST on Expenses,,No,No,No,
493,EXP,Travel Expenses,,Expense,GST on Expenses,Expenses incurred from domestic travel which has a business purpose,No,Yes,No,
